RoundNumber,RoomTemperature
393,19.262530269945774
394,19.431274602771047
395,18.938175120042626
396,19.28658574855304
397,18.705278303727273
398,18.571420877429617
399,19.22196678389093
400,19.426928494429152
401,18.93581700742246
402,19.3389185477036
403,19.26934577803357
404,18.628890215717103
405,18.617571043542945
406,19.199778180308797
407,18.825388158259152
408,18.738764159576238
409,18.43284081483258
410,18.991740922409708
411,19.23256172326669
412,19.113851414408455
413,18.992201632219793
414,18.95312691076149
415,19.471780574812957
416,18.741077719650075
417,18.722501883030073
418,18.66483035633452
419,18.925329017577692
420,18.747604893858526
421,19.32006798190751
422,19.287261661118638
423,19.3555274589334
424,18.806246310329886
425,19.031008360864316
426,18.68837516516997
427,19.243143906289234
428,18.720439992096217
429,19.366020084798855
430,19.01612210295455
431,19.100921834959035
432,19.5076814035524
433,18.73072856407408
434,18.856650217410035
435,18.956386590816138
436,19.29025478680957
437,19.336321268366962
438,19.009239776775818
439,19.148070349553485
440,18.79864675256992
441,19.109167887333978
442,18.555113888014347
443,18.559038790441573
444,19.284286930063256
445,19.355747812599876
446,19.55679115675246
447,18.798443663344965
448,18.653005792033852
449,19.249826490502482
450,18.79225020327712
451,18.948115601762826
452,19.244152795123945
453,18.613906774227186
454,18.538338747286122
455,18.47536374794083
456,18.58906401073871
457,18.985139618824462
458,18.572984612657958
459,18.705105593180203
460,18.976467971551063
461,18.532588117982296
462,18.956846743375472
463,18.9973467491649
464,19.057207768347787
465,19.185964176866918
466,19.55323779295326
467,18.8644026033228
468,19.34059690394553
469,19.05249723646475
470,18.68471827040473
471,19.288974594940363
472,19.24374789076116
473,18.618466220008102
474,18.34878471189726
475,18.647076677244712
476,18.495418321235483
477,18.485610203713033
478,18.95844387901777
479,18.59414544370354
480,19.00389978579461
481,19.497926682282063
482,19.02645261781283
483,18.78032980581539
484,18.946983931530852
485,18.50483626896991
486,18.30393971388677
487,18.831690101453425
488,19.39163515883206
489,18.721930110546086
490,18.55641921927986
491,18.436533964812675
492,19.03989444604356
493,19.20600340214425
494,19.23087996618745
495,19.437263497196977
496,19.50077732098749
497,18.85484405368311
498,19.136637146210663
499,19.237578372030153
500,18.823325804247233
501,19.120850446008777
502,18.660573954525876
503,19.158933783342246
504,19.044503911948294
505,18.85505684654692
506,19.24185310464723
507,19.00317745073374
508,19.248266172479564
509,18.819868367054447
510,19.072392115383934
511,19.35721627412602
512,18.95835443209807
513,18.81866933692432
514,18.852175532719226
515,18.645489136831802
516,18.71666633792215
517,19.323569584941097
518,19.222454747194444
519,18.906470931864686
520,18.50163458653405
521,18.681244402165444
522,18.857969320841196
523,18.674082248064504
524,18.79098873461565
525,18.95381733805263
526,19.194434688149126
527,19.214557311593595
528,19.310790674019163
529,19.190709838453913
530,19.51905818048986
531,18.866252269521258
532,18.5286345893819
533,18.562003710541166
534,18.316834831812542
535,19.023720461137813
536,18.77263598716821
537,18.83422586490631
538,18.43894655734672
539,18.47930780180133
540,19.032530284670894
541,19.266920650861618
542,19.412327698680414
543,18.994803030340908
544,18.638602434650963
545,19.257328640251476
546,19.310486297965497
547,19.20025734109993
548,19.552090043206125
549,18.998064855928682
550,19.44871654679239
551,19.553265108974085
552,19.667879160173843
