state	last_updated_ts
1.455	1774755900.3018262
1.47	1774756800.3041422
1.486	1774757700.303361
1.5	1774758600.301776
1.527	1774759500.3040705
1.542	1774760400.3023727
1.523	1774761300.303827
1.507	1774762200.3038063
1.508	1774763100.3030038
1.549	1774764000.3021715
1.555	1774764900.302804
1.522	1774765800.303709
1.505	1774766700.303868
1.432	1774767600.3035877
1.418	1774768500.3018095
1.399	1774769400.3042848
1.389	1774770300.303083
1.352	1774771200.3026886
1.342	1774772100.301741
1.368	1774773000.302248
1.366	1774773900.3049736
1.361	1774774800.3045723
1.347	1774775700.302055
1.341	1774776600.3042176
1.357	1774777500.3042834
1.373	1774778400.3013012
1.362	1774779300.3045547
1.342	1774780200.3039544
1.335	1774781100.3044527
1.371	1774782000.3056247
1.369	1774782900.303396
1.369	1774783275.3959405
1.366	1774783800.3080196
1.365	1774784700.3047674
1.369	1774785600.308164
1.368	1774786500.3050306
1.367	1774787400.3079538
1.367	1774788300.30821
1.398	1774789200.3079827
1.397	1774790100.3068805
1.399	1774791000.3084207
1.403	1774791900.3067653
1.395	1774792800.3060417
1.397	1774793700.3078587
1.403	1774794600.30833
1.401	1774795500.3075247
1.366	1774796400.3083925
1.365	1774797300.3078945
1.359	1774798200.3061187
1.363	1774799100.3077059
1.165	1774800000.306694
1.247	1774800900.3087456
1.367	1774801800.3052385
1.387	1774802700.3087404
1.462	1774803600.3069706
1.452	1774804500.3052597
1.426	1774805400.30613
1.421	1774806300.308815
1.464	1774807200.3080714
1.451	1774808100.3079767
1.403	1774809000.306712
1.47	1774809900.3083541
1.373	1774810800.3078861
1.394	1774811700.307892
1.423	1774812600.3075705
1.411	1774813500.3079278
1.345	1774814400.3089879
1.371	1774815300.3081217
1.371	1774816200.3071673
1.369	1774817100.3092186
1.369	1774818000.3065336
1.367	1774818900.3050547
1.37	1774819800.3086877
1.372	1774820700.310099
1.387	1774821600.1779923
1.387	1774821600.3031414
1.395	1774822500.3051815
1.397	1774823400.3026788
1.395	1774824300.3045585
1.397	1774825200.3032305
1.395	1774826100.3047242
1.394	1774827000.3031569
1.393	1774827900.3022208
1.36	1774828800.301336
1.362	1774829700.3038325
1.36	1774830600.304176
1.358	1774831500.3024056
1.354	1774832400.3035305
1.354	1774833300.3020034
1.354	1774834200.301748
1.355	1774835100.3050828
1.335	1774836000.3026872
1.336	1774836900.30169
1.335	1774837800.303326
1.336	1774838700.3032155
1.361	1774839600.3032877
1.364	1774840500.3031178
1.365	1774841400.3028505
1.346	1774842300.3031588
1.333	1774843200.3037512
1.343	1774844100.303644
1.358	1774845000.304278
1.385	1774845900.3039873
1.402	1774846800.303131
1.423	1774847700.302971
1.455	1774848600.3051353
1.479	1774849500.3020027
1.56	1774850400.3019853
1.559	1774851300.305754
1.556	1774852200.3031507
1.542	1774853100.3019438
1.538	1774854000.30309
1.504	1774854900.301184
1.491	1774855800.3036737
1.479	1774856700.3037279
1.386	1774857600.3013136
1.39	1774858500.3031654
1.379	1774859400.3025599
1.398	1774860300.3038225
1.332	1774861200.3030338
1.342	1774862100.303201
1.339	1774863000.3052943
1.307	1774863900.3016315
1.335	1774864800.3036017
1.333	1774865700.305102
1.334	1774866600.3027728
1.334	1774867500.303824
1.31	1774868400.3039618
1.303	1774869300.3040733
