RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
417,11623.912260600004
418,11640.487480800004
419,11656.604005800004
420,11696.961852300003
421,11713.735226700002
422,11754.257399700002
423,11794.901102700002
424,11812.069142100001
425,11852.362911600001
426,11892.782676600002
427,11933.089532100003
428,11973.369509100003
429,12013.636319100002
430,12030.273042300001
431,12070.550178300002
432,12087.205825500001
433,12103.311539700002
434,12143.581538700002
435,12160.240024500003
436,12200.515600500003
437,12240.739989000003
438,12257.349670800004
439,12273.449880600005
440,12313.750416600005
441,12330.304720800006
442,12370.592581800007
443,12410.843155800007
444,12427.570415400007
445,12443.686861200007
446,12483.985739700007
447,12500.676744900007
448,12540.988980900007
449,12581.258364900006
450,12597.919340700006
451,12614.016362700006
452,12654.298724700006
453,12670.946204700005
454,12711.230575200005
455,12751.489514700004
456,12768.145859100005
457,12784.243752300004
458,12824.527362300005
459,12841.179423900005
460,12881.466699900004
461,12921.714006900003
462,12938.344704300003
463,12978.657505800003
464,12995.286310800004
465,13011.386223600004
466,13051.736075100003
467,13068.431661900004
468,13108.758522900003
469,13149.056666400003
470,13165.742143800004
471,13181.850273600005
472,13222.138290600005
473,13238.851158000005
474,13279.166260500006
475,13319.456385000005
476,13336.073636400006
477,13376.375751900006
478,13393.026618300006
479,13409.129520900005
480,13449.426293400005
481,13466.110376400005
482,13506.407733900005
483,13546.659891900004
484,13563.364841100005
485,13603.652175600006
486,13620.267733800005
487,13636.374339000005
488,13676.693419500005
489,13693.494432900005
490,13709.640123300005
491,13725.761083500005
492,13741.873925700005
493,13782.216679200004
494,13822.506011700005
495,13839.227594100004
496,13879.571361600005
497,13919.875841100005
498,13960.205664600006
499,13977.029486400006
500,13993.135774800006
501,14033.470962300007
502,14050.249466100007
503,14090.547740100008
504,14130.849002100009
505,14147.539110900008
506,14163.657992100008
507,14203.981518600009
508,14220.681189000008
509,14260.980750000008
510,14301.276517500008
511,14318.082261900008
512,14334.210528300007
513,14374.597936800008
514,14391.356072400007
515,14431.714523400007
516,14472.087015900008
517,14489.015766300008
518,14505.140924100007
519,14545.477535100008
520,14562.585665100009
521,14602.984968600009
